sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT,src,seam
0,17.76,10.17,14.7,13.4821,255,0.0,0.0,,184.0,0.7369565217391304,0.0,28.5,78.8,2.26,1.2,0.0,9.80392,0.0,14.2196,13.92,-0.29959999999999987,-8.84931,1,7,0,0.0,0,0.0,0.0,0.0,19.712,3.0225066666666667,0,78.8,log0001.csv,1
1,17.8,10.17,14.7,8.16755,255,0.0,0.0,,184.0,0.7369565217391304,0.0,28.5,78.8,2.26,1.1,0.0,9.80392,0.0,14.2196,13.92,-0.29959999999999987,-8.84937,1,7,0,0.0,0,0.0,0.0,0.0,19.712,3.0225066666666667,0,78.8,log0001.csv,0
2,17.84,10.17,14.7,8.16755,255,0.0,0.0,,184.0,0.7369565217391304,0.0,28.5,78.8,2.26,1.1,0.0,9.80392,0.0,14.2196,13.92,-0.29959999999999987,-8.84937,1,7,0,0.0,0,0.0,0.0,0.0,19.712,3.0225066666666667,0,78.8,log0001.csv,0
3,17.88,10.17,14.7,8.16755,255,0.0,0.0,,184.0,0.7369565217391304,0.0,28.5,78.8,2.26,1.18,0.0,9.80392,0.0,14.2196,13.92,-0.29959999999999987,-8.84931,1,7,0,0.0,0,0.0,0.0,0.0,19.712,3.0225066666666667,0,78.8,log0001.csv,0
4,17.92,10.17,14.7,8.16755,255,0.0,0.0,,188.25,0.8286852589641435,0.0,28.5,78.8,2.6,1.24,0.0,9.80392,0.0,14.2196,13.775,-0.44459999999999944,-8.84931,1,7,0,0.0,0,0.0,0.0,0.0,19.712,3.09232,0,78.8,log0001.csv,0
5,17.96,10.17,14.7,8.16755,255,0.0,0.0,,420.0,0.4771428571428571,0.0,28.5,78.8,3.34,1.22,0.0,9.80392,0.0,14.2196,13.775,-0.44459999999999944,-8.84931,1,7,0,0.0,0,0.0,0.0,0.0,19.712,6.8991999999999996,0,78.8,log0001.csv,0
6,18.0,10.17,14.7,8.16755,255,0.0,0.0,,761.5,0.28365068942875904,0.0,28.5,78.8,3.6,1.28,0.0,9.80392,0.0,14.2196,13.63,-0.589599999999999,-8.84931,1,7,0,0.0,0,0.0,0.0,0.0,14.848,9.422293333333334,0,78.8,log0001.csv,0
7,18.04,10.17,14.7,8.16755,255,0.0,0.0,,1012.0,0.250197628458498,0.0,28.5,78.8,4.22,1.36,0.0,9.80392,0.0,14.2196,12.47,-1.7495999999999992,-8.65467,1,7,0,0.0,0,0.0,0.0,0.0,11.776,9.931093333333333,0,78.8,log0001.csv,0
8,18.08,10.2532,14.7,8.16755,255,0.0,0.0,,1359.5,0.2542111070246414,0.0,28.5,78.8,5.76,1.44,0.0,9.80392,0.0,14.2196,11.02,-3.1996,-8.65467,1,7,0,0.0,0,0.0,0.0,0.0,8.96,10.150933333333334,0,78.8,log0001.csv,0
9,18.12,22.7236,14.7,8.16977,255,0.0,0.0,,1610.75,0.2741580009312432,0.0,25.0,78.8,7.36,1.52,0.0,9.41177,0.0,14.2196,10.005,-4.214599999999999,-8.48191,1,7,0,0.0,0,0.0,0.0,0.0,7.168,9.621546666666667,0,78.8,log0001.csv,0
10,18.16,22.5553,14.7,8.16977,255,0.0,0.0,,1872.0,0.2653846153846154,0.0,23.5,78.8,8.28,1.56,0.0,9.41177,0.0,14.2196,8.845,-5.374599999999999,-8.48191,1,7,0,0.0,2,0.0,0.0,0.0,5.632,8.785919999999999,0,78.8,log0001.csv,0
11,18.2,22.5553,14.7,8.17199,255,0.0,0.0,,1978.5,0.27081122062168306,0.0,23.0,78.8,8.93,1.6,0.0,9.80392,0.0,14.2196,8.12,-6.099600000000001,-9.15255,1,7,0,0.0,2,0.0,0.0,0.0,3.84,6.3312,0,78.8,log0001.csv,0
12,18.24,22.683,14.7,8.17865,255,0.0,0.0,,2085.5,0.2721649484536083,0.0,22.5,78.8,9.46,1.62,0.0,9.80392,0.0,14.2196,7.54,-6.6796,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.584,6.228693333333333,0,78.8,log0001.csv,0
13,18.28,22.6404,14.7,8.17865,255,0.0,0.0,,2187.75,0.269043537881385,0.0,22.0,78.8,9.81,1.64,0.0,10.1961,0.0,14.2196,6.815,-7.404599999999999,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,6.06736,0,78.8,log0001.csv,0
14,18.32,22.5147,14.7,8.18754,255,0.0,0.0,,2243.75,0.27329247910863513,0.0,21.0,78.8,10.22,1.66,0.0,10.1961,0.0,14.2196,6.235,-7.9845999999999995,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,6.222666666666666,0,78.8,log0001.csv,0
15,18.36,22.6404,14.7,8.19423,255,0.0,0.0,,2298.0,0.2759791122715405,0.0,19.5,78.8,10.57,1.66,0.0,10.1961,0.0,14.2196,5.8,-8.419599999999999,-9.46809,1,7,0,0.0,4,0.0,0.0,0.0,3.328,6.37312,0,78.8,log0001.csv,0
16,18.4,22.683,14.7,8.19423,255,0.0,0.0,,2311.75,0.2854979993511409,0.0,22.5,78.8,11.0,1.68,0.0,10.1961,0.0,14.2196,5.51,-8.7096,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,6.411253333333334,0,78.8,log0001.csv,0
17,18.44,22.4296,14.7,8.20093,255,0.0,0.0,,2339.5,0.2764693310536439,0.0,21.0,78.8,10.78,1.66,0.0,10.1961,0.0,14.2196,5.365,-8.8546,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,6.488213333333333,0,78.8,log0001.csv,0
18,18.48,22.4296,14.7,8.20093,255,0.0,0.0,,2329.25,0.2797466995814103,0.0,19.5,78.8,10.86,1.68,0.0,10.1961,0.0,14.2196,5.075,-9.1446,-9.46809,1,7,0,0.0,4,0.0,0.0,0.0,3.328,6.459786666666666,0,78.8,log0001.csv,0
19,18.52,22.5147,14.7,8.21211,255,0.0,0.0,,2325.5,0.2781337346807138,0.0,18.5,78.8,10.78,1.68,0.0,10.1961,0.0,14.2196,4.93,-9.2896,-9.46809,1,7,0,0.0,4,0.0,0.0,0.0,3.328,6.449386666666666,0,78.8,log0001.csv,0
20,18.56,22.5553,14.7,8.42822,255,0.0,0.0,,2284.75,0.291497975708502,0.0,12.5,78.8,11.1,1.68,0.0,10.1961,0.0,14.2196,4.93,-9.2896,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,6.3363733333333325,0,78.8,log0001.csv,0
21,18.6,22.5553,14.7,8.42822,255,0.0,0.0,,2256.25,0.29863711911357343,0.0,11.5,78.8,11.23,1.7,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.46809,1,7,0,0.0,4,0.0,0.0,0.0,3.328,6.2573333333333325,0,78.8,log0001.csv,0
22,18.64,22.5979,14.7,8.43767,255,0.0,0.0,,2208.0,0.30679347826086956,0.0,11.5,78.8,11.29,1.7,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.46809,1,7,0,0.0,4,0.0,0.0,0.0,3.328,6.123519999999999,0,78.8,log0001.csv,0
23,18.68,22.5553,14.7,8.44477,255,0.0,0.0,,2177.25,0.30864622803995867,0.0,11.0,78.8,11.2,1.7,0.0,10.1961,0.0,14.2196,4.64,-9.5796,-9.46809,1,7,0,0.0,4,0.0,0.0,0.0,3.328,6.03824,0,78.8,log0001.csv,0
24,18.72,22.5979,14.7,8.44477,255,0.0,0.0,,2119.0,0.31628126474752244,0.0,11.0,78.8,11.17,1.68,0.0,10.1961,0.0,14.2196,4.64,-9.5796,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,5.876693333333333,0,78.8,log0001.csv,0
25,18.76,22.6404,14.7,8.65352,255,0.0,0.0,,2085.0,0.32143884892086333,0.0,11.0,78.8,11.17,1.68,0.0,10.1961,0.0,14.2196,4.64,-9.5796,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,5.7824,0,78.8,log0001.csv,0
26,18.8,22.4722,14.7,8.65352,255,0.0,0.0,,2062.75,0.32286995515695066,0.0,11.0,78.8,11.1,1.68,0.0,10.1961,0.0,14.2196,4.64,-9.5796,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,5.720693333333333,0,78.8,log0001.csv,0
27,18.84,22.4722,14.7,8.66348,255,0.0,0.0,,2004.5,0.33225243202793714,0.0,11.0,78.8,11.1,1.68,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.46809,1,7,0,0.0,3,0.0,0.0,0.0,3.328,5.559146666666666,0,78.8,log0001.csv,0
28,18.88,22.5979,14.7,8.67097,255,0.0,0.0,,1971.25,0.3259860494610019,0.0,10.5,78.8,10.71,1.66,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.40906,1,7,0,0.0,3,0.0,0.0,0.0,3.328,5.466933333333333,0,78.8,log0001.csv,0
29,18.92,22.6404,14.7,8.67097,255,0.0,0.0,,1946.25,0.3301734104046243,0.0,10.5,78.8,10.71,1.68,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.40906,1,7,0,0.0,3,0.0,0.0,0.0,3.584,5.8128,0,78.8,log0001.csv,0
30,18.96,22.3871,14.7,8.67847,255,0.0,0.0,,1884.25,0.35122727875812654,0.0,10.5,78.8,11.03,1.68,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.26246,1,7,0,0.0,3,0.0,0.0,0.0,3.584,5.627626666666667,0,78.8,log0001.csv,0
31,19.0,22.5147,14.7,8.87809,255,0.0,0.0,,1851.0,0.3494327390599676,0.0,10.5,78.8,10.78,1.66,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.10093,1,7,0,0.0,3,0.0,0.0,0.0,3.584,5.52832,0,78.8,log0001.csv,0
32,19.04,22.4296,14.7,8.87809,255,0.0,0.0,,1811.5,0.3643389456251725,0.0,10.5,78.8,11.0,1.68,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-9.10093,1,7,0,0.0,3,0.0,0.0,0.0,3.584,5.410346666666666,0,78.8,log0001.csv,0
33,19.08,22.5979,14.7,8.88595,255,0.0,0.0,,1779.5,0.37426243326777187,0.0,10.0,78.8,11.1,1.68,0.0,10.1961,0.0,14.2196,4.785,-9.4346,-8.94568,1,7,0,0.0,3,0.0,0.0,0.0,3.584,5.314773333333333,0,78.8,log0001.csv,0
34,19.12,23.8627,14.7,8.88595,255,0.0,0.0,,1756.75,0.3709121958161377,0.0,10.0,78.8,10.86,1.68,0.0,10.1961,0.0,14.2196,4.93,-9.2896,-8.94568,1,7,0,0.0,3,0.0,0.0,0.0,3.584,5.246826666666666,0,78.8,log0001.csv,0
35,19.16,23.6945,14.7,8.89383,255,0.0,0.0,,1703.25,0.382562747688243,0.0,10.0,78.8,10.86,1.66,0.0,10.1961,0.0,14.2196,4.93,-9.2896,-8.80717,1,7,0,0.0,3,0.0,0.0,0.0,3.84,5.450399999999999,0,78.8,log0001.csv,0
36,19.2,23.356,14.7,8.89909,255,0.0,0.0,,1665.25,0.3948956613121153,0.0,10.5,78.8,10.96,1.66,0.0,10.1961,0.0,14.2196,4.93,-9.2896,-8.72023,1,7,0,0.0,3,0.0,0.0,0.0,3.84,5.328799999999999,0,78.8,log0001.csv,0
37,19.24,23.8202,14.7,8.89909,255,0.0,0.0,,1561.0,0.40627802690582965,0.0,12.0,78.8,10.57,1.66,0.0,10.1961,0.0,14.2196,4.93,-9.2896,-8.72023,1,7,0,0.0,4,0.0,0.0,0.0,3.84,4.9952,0,78.8,log0001.csv,0
38,19.28,23.8202,14.7,8.99749,255,0.0,0.0,,1545.5,0.4049175024263992,0.0,12.5,78.8,10.43,1.66,0.0,10.1961,0.0,14.2196,5.075,-9.1446,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,3.84,4.9456,0,78.8,log0001.csv,0
39,19.32,23.8202,14.7,8.93076,255,0.0,0.0,,1533.5,0.41082491033583307,0.0,13.0,78.8,10.5,1.66,0.0,10.1961,0.0,14.2196,5.075,-9.1446,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,3.84,4.9072,0,78.8,log0001.csv,0
40,19.36,23.8202,14.7,8.93076,255,0.0,0.0,,1532.5,0.4110929853181077,0.0,13.0,78.8,10.5,1.66,0.0,10.1961,0.0,14.2196,5.22,-8.999600000000001,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.352,5.557866666666667,0,78.8,log0001.csv,0
41,19.4,23.8627,14.7,8.80796,255,0.0,0.0,,1532.0,0.41945169712793734,0.0,13.0,78.8,10.71,1.66,0.0,9.80392,0.0,14.2196,5.365,-8.8546,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.2292266666666665,0,78.8,log0001.csv,0
42,19.44,23.8627,14.7,8.80796,255,0.0,0.0,,1528.75,0.42034341782502044,0.0,13.0,78.8,10.71,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.218133333333333,0,78.8,log0001.csv,0
43,19.48,23.7351,14.7,8.76692,255,0.0,0.0,,1519.75,0.4117782530021385,0.0,13.0,78.8,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.187413333333333,0,78.8,log0001.csv,0
44,19.52,23.9459,14.7,8.75163,255,0.0,0.0,,1524.25,0.4105625717566016,0.0,13.0,78.8,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.202773333333334,0,78.8,log0001.csv,0
45,19.56,23.8627,14.7,8.75163,255,0.0,0.0,,1532.75,0.41102593377915514,0.0,12.5,78.8,10.5,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.231786666666667,0,78.8,log0001.csv,0
46,19.6,23.7351,14.7,8.91754,255,0.0,0.0,,1538.5,0.4094897627559311,0.0,12.5,78.8,10.5,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.251413333333333,0,78.8,log0001.csv,0
47,19.64,23.8627,14.7,8.92547,255,0.0,0.0,,1550.75,0.4062550378848944,0.0,11.5,78.8,10.5,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.2932266666666665,0,78.8,log0001.csv,0
48,19.68,23.8627,14.7,8.92547,255,0.0,0.0,,1553.0,0.4137797810688989,0.0,11.5,78.8,10.71,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.300906666666666,0,78.8,log0001.csv,0
49,19.72,23.6945,14.7,8.93872,255,0.0,0.0,,1557.5,0.4071910112359551,0.0,11.0,78.8,10.57,1.66,0.0,9.80392,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.316266666666667,0,78.8,log0001.csv,0
50,19.76,23.7776,14.7,8.93872,255,0.0,0.0,,1562.75,0.3977603583426651,0.0,11.0,78.8,10.36,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.334186666666667,0,78.8,log0001.csv,0
51,19.8,23.7776,14.7,8.97335,255,0.0,0.0,,1559.75,0.3958326654912646,0.0,11.0,77.0,10.29,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.323946666666666,0,78.8,log0001.csv,0
52,19.84,23.6519,14.7,8.9948,255,0.0,0.0,,1552.25,0.40315670800450953,0.0,11.0,77.0,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.298346666666667,0,78.8,log0001.csv,0
53,19.88,23.6945,14.7,8.9948,255,0.0,0.0,,1549.75,0.41464752379416037,0.0,11.0,77.0,10.71,1.66,0.0,9.80392,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.289813333333333,0,78.8,log0001.csv,0
54,19.92,23.7351,14.7,9.15899,255,0.0,0.0,,1543.75,0.4108178137651822,0.0,11.0,77.0,10.57,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,5.269333333333333,0,78.8,log0001.csv,0
55,19.96,23.8627,14.7,9.18414,255,0.0,0.0,,1538.5,0.4012999675008125,0.0,11.5,77.0,10.29,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.251413333333333,0,78.8,log0001.csv,0
56,20.0,23.6945,14.7,9.18414,255,0.0,0.0,,1533.25,0.4081526169900538,0.0,11.5,77.0,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.2334933333333336,0,78.8,log0001.csv,0
57,20.04,23.8202,14.7,9.20379,255,0.0,0.0,,1524.0,0.41614173228346457,0.0,11.5,77.0,10.57,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.20192,0,78.8,log0001.csv,0
58,20.08,23.9033,14.7,9.20379,255,0.0,0.0,,1518.75,0.4092839506172839,0.0,12.0,77.0,10.36,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.184,0,78.8,log0001.csv,0
59,20.12,23.7776,14.7,9.22071,255,0.0,0.0,,1522.5,0.40551724137931033,0.0,11.5,77.0,10.29,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.1968,0,78.8,log0001.csv,0
60,20.16,23.9033,14.7,9.25188,255,0.0,0.0,,1519.75,0.4145418654383945,0.0,11.5,77.0,10.5,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.187413333333333,0,78.8,log0001.csv,0
61,20.2,23.9033,14.7,9.25188,255,0.0,0.0,,1522.0,0.41668856767411305,0.0,11.5,77.0,10.57,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.195093333333333,0,78.8,log0001.csv,0
62,20.24,23.6945,14.7,9.41683,255,0.0,0.0,,1519.0,0.4119815668202765,0.0,11.5,77.0,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.184853333333334,0,78.8,log0001.csv,0
63,20.28,23.8627,14.7,9.43158,255,0.0,0.0,,1517.5,0.40685337726523885,0.0,17.5,77.0,10.29,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.179733333333334,0,78.8,log0001.csv,0
64,20.32,23.9459,14.7,9.43158,255,0.0,0.0,,1523.25,0.4080748399803052,0.0,11.0,77.0,10.36,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.1993599999999995,0,78.8,log0001.csv,0
65,20.36,23.7776,14.7,9.45231,255,0.0,0.0,,1515.5,0.412933025404157,0.0,11.5,77.0,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.172906666666667,0,78.8,log0001.csv,0
66,20.4,23.8627,14.7,9.45231,255,0.0,0.0,,1502.25,0.42216674987518726,0.0,11.5,77.0,10.57,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.127680000000001,0,78.8,log0001.csv,0
67,20.44,23.8627,14.7,9.4642,255,0.0,0.0,,1493.0,0.42196918955123913,0.0,18.0,77.0,10.5,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.0961066666666675,0,78.8,log0001.csv,0
68,20.48,23.6519,14.7,9.48507,255,0.0,0.0,,1504.75,0.4158830370493437,0.0,16.5,77.0,10.43,1.66,0.0,9.80392,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.136213333333333,0,78.8,log0001.csv,0
69,20.52,23.7776,14.7,9.48507,255,0.0,0.0,,1513.0,0.4274950429610046,0.0,15.5,77.0,10.78,1.7,0.0,10.9804,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.164373333333334,0,78.8,log0001.csv,0
70,20.56,23.7776,14.7,9.63379,255,0.0,0.0,,1512.25,0.44913208794842124,0.0,15.0,77.0,11.32,1.72,0.0,10.9804,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.161813333333334,0,78.8,log0001.csv,0
71,20.6,23.8627,14.7,9.64614,255,0.0,0.0,,1519.5,0.4564659427443238,0.0,14.0,77.0,11.56,1.72,0.0,10.9804,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.18656,0,78.8,log0001.csv,0
72,20.64,23.7776,14.7,9.64614,255,0.0,0.0,,1534.25,0.4520775623268698,0.0,12.5,77.0,11.56,1.72,0.0,10.9804,0.0,14.2196,5.51,-8.7096,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.236906666666667,0,78.8,log0001.csv,0
73,20.68,23.9884,14.7,9.63996,255,0.0,0.0,,1550.75,0.4472674512332742,0.0,11.0,77.0,11.56,1.7,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.2932266666666665,0,78.8,log0001.csv,0
74,20.72,24.5783,14.7,9.63996,255,0.0,0.0,,1547.25,0.4389723703344644,0.0,11.0,77.0,11.32,1.7,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.28128,0,78.8,log0001.csv,0
75,20.76,24.4932,14.7,9.65233,255,0.0,0.0,,1552.0,0.4318298969072165,0.0,10.5,77.0,11.17,1.68,0.0,10.1961,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.297493333333334,0,78.8,log0001.csv,0
76,20.8,24.3249,14.7,9.66782,255,0.0,0.0,,1554.0,0.4297297297297298,0.0,10.5,77.0,11.13,1.68,0.0,10.1961,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.304320000000001,0,78.8,log0001.csv,0
77,20.84,24.41,14.7,9.66782,255,0.0,0.0,,1543.75,0.432582995951417,0.0,11.0,77.0,11.13,1.68,0.0,10.1961,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.269333333333333,0,78.8,log0001.csv,0
78,20.88,24.4932,14.7,9.79681,255,0.0,0.0,,1512.25,0.44318069102330965,0.0,13.5,77.0,11.17,1.68,0.0,10.1961,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.161813333333334,0,78.8,log0001.csv,0
79,20.92,24.6634,14.7,9.80319,255,0.0,0.0,,1488.0,0.4487903225806452,0.0,15.5,77.0,11.13,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.07904,0,78.8,log0001.csv,0
80,20.96,24.5783,14.7,9.80319,255,0.0,0.0,,1478.5,0.4516739939127494,0.0,16.0,77.0,11.13,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,5.046613333333333,0,78.8,log0001.csv,0
81,21.0,24.3675,14.7,9.82238,255,0.0,0.0,,1462.5,0.4455384615384615,0.0,17.0,77.0,10.86,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.992000000000001,0,78.8,log0001.csv,0
82,21.04,24.4932,14.7,9.82238,255,0.0,0.0,,1449.0,0.463768115942029,0.0,17.0,77.0,11.2,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.94592,0,78.8,log0001.csv,0
83,21.08,24.5783,14.7,9.84165,255,0.0,0.0,,1443.75,0.46670129870129873,0.0,16.5,77.0,11.23,1.7,0.0,10.1961,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.928,0,78.8,log0001.csv,0
84,21.12,24.3675,14.7,9.83843,255,0.0,0.0,,1450.75,0.4632086851628468,0.0,16.5,77.0,11.2,1.7,0.0,10.1961,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.9518933333333335,0,78.8,log0001.csv,0
85,21.16,24.6634,14.7,9.83843,255,0.0,0.0,,1442.25,0.4709308372334894,0.0,16.5,77.0,11.32,1.7,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.92288,0,78.8,log0001.csv,0
86,21.2,24.5783,14.7,9.96874,255,0.0,0.0,,1440.5,0.4665046858729608,0.0,16.5,77.0,11.2,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.916906666666667,0,78.8,log0001.csv,0
87,21.24,24.5783,14.7,9.96544,255,0.0,0.0,,1436.5,0.4715628263139575,0.0,16.0,77.0,11.29,1.7,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.903253333333334,0,78.8,log0001.csv,0
88,21.28,24.41,14.7,9.96544,255,0.0,0.0,,1435.25,0.4665389304999129,0.0,16.0,77.0,11.16,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.096,4.8989866666666675,0,78.8,log0001.csv,0
89,21.32,24.2418,14.7,9.95556,255,0.0,0.0,,1436.75,0.47148077257699667,0.0,15.5,77.0,11.29,1.7,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-8.48191,1,7,0,0.0,4,0.0,0.0,0.0,4.096,4.904106666666666,0,78.8,log0001.csv,0
90,21.36,24.3675,14.7,9.95556,255,0.0,0.0,,1433.25,0.47639979068550503,0.0,15.0,77.0,11.38,1.7,0.0,10.5882,0.0,14.2196,5.8,-8.419599999999999,-8.48191,1,7,0,0.0,3,0.0,0.0,0.0,4.352,5.197920000000001,0,78.8,log0001.csv,0
