sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,2222.680,10.17,14.7,11.052,255,0,3.90625,177.5,0,13,95,2.4,1.22,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,6.144,0,195.8
1,2222.720,10.17,14.7,7.61589,255,0,3.90625,177.5,0,13,95,2.4,1.16,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,5.888,0,195.8
2,2222.760,10.17,14.7,7.61589,255,0,3.90625,177.5,0,13,95,2.4,1.08,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,5.888,0,195.8
3,2222.800,10.17,14.7,7.61589,255,0,3.90625,177.5,0,13,95,2.4,1.16,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,5.888,0,195.8
4,2222.840,10.17,14.7,7.61589,255,0,3.90625,191,0,13,95,2.75,1.26,0,6.66667,0,14.3647,13.63,-9.02068,1,7,0,0,0,0,0,0,5.888,0,195.8
5,2222.880,10.17,14.7,7.61589,255,0,3.90625,191,0,13,95,2.75,1.16,0,6.66667,0,14.3647,13.63,-9.02068,1,7,0,0,0,0,0,0,5.888,0,195.8
6,2222.920,10.17,14.7,7.61589,255,0,3.90625,384,0,13,95,3.25,1.2,0,6.66667,0,14.3647,13.195,-9.02068,1,7,0,0,0,0,0,0,5.888,0,195.8
7,2222.960,10.17,14.7,7.61589,255,0,3.90625,683.25,0,20,95,3.12,1.24,0,6.66667,0,14.3647,12.47,-9.02068,1,7,0,0,0,0,0,0,5.12,0,195.8
8,2223.000,10.17,14.7,7.67413,255,0,3.90625,1074.5,0,17.5,95,3.9,1.28,0,6.66667,0,14.3647,11.165,-9.02068,1,7,0,0,0,0,0,0,4.096,0,195.8
9,2223.040,21.4607,14.7,7.67413,255,0,3.90625,1369.25,0,17.5,95,4.64,1.34,0,6.66667,0,14.3647,10.005,-8.76853,1,7,0,0,0,0,0,0,3.84,0,195.8
10,2223.080,21.5032,14.7,7.70358,255,0,3.90625,1531,0,17.5,95,5.28,1.36,0,6.66667,0,14.3647,8.99,-8.65328,1,7,0,0,0,0,0,0,3.584,0,195.8
11,2223.120,21.3756,14.7,7.70358,255,0,3.90625,1677.75,0,17.5,95,5.6,1.4,0,6.66667,0,14.3647,8.265,-8.65328,1,7,0,0,0,0,0,0,3.328,0,195.8
12,2223.160,21.2924,14.7,7.70358,255,0,3.90625,1782.75,0,17.5,95,5.78,1.42,0,6.66667,0,14.3647,7.54,-8.84482,1,7,0,0,0,0,0,0,3.328,0,195.8
13,2223.200,21.4607,14.7,7.70555,255,0,3.90625,1887.25,0,17.5,95,5.96,1.42,0,6.66667,0,14.3647,6.96,-9.29679,1,7,0,0,0,0,0,0,3.072,0,195.8
14,2223.240,21.5032,14.7,7.70555,255,0,3.90625,1949.5,0,17,95,5.96,1.42,0,6.66667,0,14.3647,6.525,-9.29679,1,7,0,0,0,0,0,0,3.072,0,195.8
15,2223.280,21.4607,14.7,7.70753,255,0,3.90625,2032,0,16,95,6.03,1.42,0,6.66667,0,14.3647,5.945,-9.61525,1,7,0,0,0,0,0,0,2.816,0,195.8
16,2223.320,21.4181,14.7,7.92253,255,0,3.90625,2073.75,0,15,95,6.03,1.42,0,6.66667,0,14.3647,5.365,-9.61525,1,7,0,0,0,0,0,0,2.816,0,195.8
17,2223.360,21.4607,14.7,7.92253,255,0,3.90625,2113.75,0,14,95,6.03,1.42,0,6.66667,0,14.3647,4.93,-9.63952,1,7,0,0,0,0,0,0,2.816,0,195.8
18,2223.400,21.1242,14.7,7.92461,255,0,3.90625,2127.25,0,13.5,95,6.03,1.42,0,6.66667,0,14.3647,4.785,-9.63945,1,7,0,0,0,0,0,0,2.56,0,195.8
19,2223.440,21.3756,14.7,7.92461,255,0,3.90625,2120.75,0,12.5,95,6.03,1.42,0,6.66667,0,14.3647,4.495,-9.63945,1,7,0,0,0,0,0,0,2.56,0,195.8
20,2223.480,21.3756,14.7,8.12786,255,0,3.90625,2131.5,0,11,95,6.03,1.42,0,6.66667,0,14.3647,4.205,-9.63945,1,7,0,0,0,0,0,0,2.56,0,195.8
21,2223.520,21.5032,14.7,8.31876,255,0,3.90625,2106.75,0,10,95,6.03,1.42,0,6.66667,0,14.3647,4.06,-9.63945,1,7,0,0,0,0,0,0,2.304,0,195.8
22,2223.560,21.4181,14.7,8.31876,255,0,3.90625,2094.25,0,9.5,95,6.11,1.44,0,6.66667,0,14.3647,3.915,-9.63945,1,7,0,0,1,0,0,0,2.304,0,195.8
23,2223.600,21.335,14.7,8.50201,255,0,3.90625,2080,0,9.5,95,6.14,1.44,0,6.66667,0,14.3647,3.915,-9.63952,1,7,0,0,0,0,0,0,2.304,0,195.8
24,2223.640,21.4181,14.7,8.50681,255,0,3.90625,2044.5,0,9.5,95,6.14,1.44,0,6.66667,0,14.3647,3.77,-9.63945,1,7,0,0,1,0,0,0,2.304,0,195.8
25,2223.680,21.1242,14.7,8.50681,255,0,3.90625,1915,0,9.5,95,6.22,1.44,0,6.66667,0,14.3647,3.77,-9.63945,1,7,0,0,1,0,0,0,2.304,0,195.8
26,2223.720,21.4181,14.7,8.67597,255,0,3.90625,1891.75,0,9.5,95,6.37,1.44,0,6.66667,0,14.3647,3.77,-9.37841,1,7,0,0,1,0,0,0,2.304,0,195.8
27,2223.760,21.335,14.7,8.67597,255,0,3.90625,1848.75,0,9.5,95,6.44,1.46,0,6.66667,0,14.3647,3.77,-9.37841,1,7,0,0,1,0,0,0,2.304,0,195.8
28,2223.800,21.4181,14.7,8.8364,255,0,3.90625,1825.75,0,9.5,95,6.54,1.46,0,6.66667,0,14.3647,3.77,-9.2664,1,7,0,0,0,0,0,0,2.56,0,195.8
29,2223.840,21.4181,14.7,8.83899,255,0,3.90625,1800.5,0,9.5,95,6.4,1.46,0,6.66667,0,14.3647,3.77,-9.15729,1,7,0,0,0,0,0,0,2.56,0,195.8
30,2223.880,21.335,14.7,8.83899,255,0,3.90625,1777.75,0,9.5,95,6.4,1.44,0,6.66667,0,14.3647,3.77,-9.15729,1,7,0,0,0,0,0,0,2.56,0,195.8
31,2223.920,21.3756,14.7,8.98943,255,0,3.125,1749.75,0,9.5,95,6.5,1.44,0,6.66667,0,14.3647,3.77,-9.04005,1,7,0,0,0,0,0,0,2.56,0,195.8
32,2223.960,21.4607,14.7,8.99212,255,0,3.125,1707.25,0,9.5,95,6.33,1.44,0,6.66667,0,14.3647,3.915,-8.96398,1,7,0,0,0,0,0,0,2.56,0,195.8
33,2224.000,21.3756,14.7,8.99212,255,0,3.125,1687,0,9.5,95,6.33,1.44,0,6.66667,0,14.3647,3.915,-8.96398,1,7,0,0,0,0,0,0,2.56,0,195.8
34,2224.040,23.7776,14.7,9.12844,255,0,3.125,1673.75,0,9.5,95,6.33,1.44,0,6.66667,0,14.3647,3.915,-8.87247,1,7,0,0,0,0,0,0,2.56,0,195.8
35,2224.080,23.8627,14.7,9.12844,255,0,3.125,1656.25,0,9.5,95,6.25,1.44,0,6.66667,0,14.3647,3.915,-8.87247,1,7,0,0,0,0,0,0,2.56,0,195.8
36,2224.120,23.9033,14.7,9.25757,255,0,1.5625,1636.5,0,9.5,95,6.25,1.44,0,6.66667,0,14.3647,3.915,-8.79128,1,7,0,0,0,0,0,0,2.56,0,195.8
37,2224.160,23.9033,14.7,9.26326,255,0,1.5625,1598.75,0,9.5,95,6.33,1.44,0,6.66667,0,14.3647,3.915,-8.65872,1,7,0,0,0,0,0,0,2.56,0,195.8
38,2224.200,23.6094,14.7,9.26326,255,0,1.5625,1580.75,0,9.5,95,6.18,1.44,0,6.66667,0,14.3647,3.915,-8.65872,1,7,0,0,0,0,0,0,2.56,0,195.8
39,2224.240,23.9033,14.7,9.37869,255,0,1.5625,1570,0,9.5,95,6.11,1.42,0,6.66667,0,14.3647,3.915,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
40,2224.280,23.8627,14.7,9.38454,255,0,1.5625,1551.75,0,9.5,95,6,1.42,0,6.27451,0,14.3647,3.915,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
41,2224.320,23.8202,14.7,9.38454,255,0,1.5625,1534.75,0,9.5,95,5.89,1.4,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
42,2224.360,23.7776,14.7,9.49404,255,0,1.5625,1521.25,0,9.5,95,5.74,1.4,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
43,2224.400,23.9033,14.7,9.49404,255,0,1.5625,1497.25,0,9.5,95,5.7,1.4,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
44,2224.440,23.8202,14.7,9.49704,255,0,1.5625,1477.25,0,9.5,95,5.81,1.4,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
45,2224.480,23.8202,14.7,9.59694,255,0,1.5625,1462,0,9.5,95,5.74,1.4,0,6.27451,0,14.3647,4.06,-8.6534,1,7,0,0,0,0,0,0,2.56,0,195.8
46,2224.520,23.8202,14.5852,9.59694,255,0,1.5625,1447.25,0,9.5,95,5.78,1.42,0,6.27451,0,14.3647,4.06,-8.6534,1,7,0,0,0,0,0,0,2.56,0,195.8
47,2224.560,23.8627,14.5852,9.6,255,0,1.5625,1426.5,0,9.5,95,5.85,1.42,0,6.27451,0,14.3647,4.06,-8.65334,1,7,0,0,0,0,0,0,2.56,0,195.8
48,2224.600,23.8627,14.5852,9.69273,255,0,1.5625,1411.75,0,9.5,95,5.85,1.42,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
49,2224.640,23.7776,14.5852,9.69273,255,0,1.5625,1400.75,0,9.5,95,5.81,1.42,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
50,2224.680,23.7351,14.5852,9.69585,255,0,1.5625,1387,0,9.5,95,5.85,1.42,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
51,2224.720,23.6945,14.5852,9.69585,255,0,1.5625,1373,0,9.5,95,5.92,1.42,0,6.27451,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
52,2224.760,23.8202,14.5852,9.7809,255,0,1.5625,1359.75,0,9.5,95,5.85,1.4,0,6.27451,0,14.3647,4.06,-8.6534,1,7,0,0,0,0,0,0,2.56,0,195.8
53,2224.800,23.9459,14.5852,9.77455,255,0,1.5625,1338.5,0,9.5,95,5.7,1.4,0,5.88235,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
54,2224.840,23.8202,14.5852,9.77455,255,0,1.5625,1339.75,0,9.5,95,5.64,1.4,0,5.88235,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
55,2224.880,23.6945,14.5852,9.85131,255,0,1.5625,1327,0,9.5,95,5.56,1.4,0,5.88235,0,14.3647,4.06,-8.65334,1,7,0,0,0,0,0,0,2.56,0,195.8
56,2224.920,23.8202,14.5852,9.85453,255,0,2.34375,1319.25,0,9.5,95,5.56,1.38,0,5.88235,0,14.3647,4.06,-8.65334,1,7,0,0,0,0,0,0,2.56,0,195.8
57,2224.960,23.8202,14.5852,9.85453,255,0,2.34375,1302.75,0,9.5,95,5.56,1.38,0,5.88235,0,14.3647,4.06,-8.65334,1,7,0,0,0,0,0,0,2.56,0,195.8
58,2225.000,23.9033,14.5852,9.92601,255,0,2.34375,1289.75,0,9.5,95,5.56,1.4,0,5.88235,0,14.3647,4.06,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
59,2225.040,23.8627,14.5852,9.92601,255,0,2.34375,1279.75,0,9.5,95,5.5,1.38,0,5.88235,0,14.3647,4.205,-8.65328,1,7,0,0,0,0,0,0,2.816,0,195.8
60,2225.080,23.9884,14.5852,9.92601,255,0,2.34375,1263.75,0,9.5,95,5.46,1.36,0,5.88235,0,14.3647,4.205,-8.65328,1,7,0,0,0,0,0,0,2.816,0,195.8
61,2225.120,23.8202,14.5852,9.98859,255,0,3.90625,1240,0,9.5,95,5.42,1.38,0,5.88235,0,14.3647,4.205,-8.65334,1,7,0,0,0,0,0,0,2.56,0,195.8
62,2225.160,23.8627,14.5852,9.98859,255,0,3.90625,1222.75,0,9.5,95,5.36,1.38,0,5.88235,0,14.3647,4.205,-8.65334,1,7,0,0,0,0,0,0,2.56,0,195.8
63,2225.200,23.7776,14.5852,9.99522,255,0,3.90625,1197.75,0,9.5,95,5.36,1.36,0,5.88235,0,14.3647,4.205,-8.65328,1,7,0,0,0,0,0,0,2.56,0,195.8
64,2225.240,23.7351,14.5852,10.0419,255,0,3.90625,1179.75,0,9.5,95,5.36,1.38,0,5.88235,0,14.3647,4.205,-8.6718,1,7,0,0,0,0,0,0,2.56,0,195.8
65,2225.280,23.8202,14.4703,10.0419,255,0,3.90625,1171,0,9.5,95,5.36,1.36,0,5.88235,0,14.3647,4.205,-8.6718,1,7,0,0,0,0,0,0,2.816,0,195.8
66,2225.320,23.7351,14.4703,10.0385,255,0,3.90625,1162,0,9.5,95,5.36,1.38,0,5.88235,0,14.3647,4.205,-8.68809,1,7,0,0,0,0,0,0,2.816,0,195.8
67,2225.360,23.9033,14.4703,10.0385,255,0,3.90625,1144,0,9.5,95,5.3,1.36,0,5.88235,0,14.3647,4.205,-8.68809,1,7,0,0,0,0,0,0,2.816,0,195.8
68,2225.400,24.4932,14.4703,10.0352,255,0,3.90625,1136.25,0,9.5,95,5.26,1.36,0,5.88235,0,14.3647,4.205,-8.70465,1,7,0,0,0,0,0,0,2.816,0,195.8
69,2225.440,24.4932,14.4703,10.0823,255,0,3.90625,1126.5,0,9.5,95,5.26,1.36,0,5.88235,0,14.3647,4.205,-8.72094,1,7,0,0,0,0,0,0,2.816,0,195.8
70,2225.480,24.41,14.4703,10.0823,255,0,3.90625,1123.25,0,9.5,95,5.26,1.36,0,5.88235,0,14.3647,4.205,-8.72094,1,7,0,0,0,0,0,0,2.816,0,195.8
71,2225.520,24.4932,14.4703,10.0789,255,0,3.90625,1112.5,0,9.5,95,5.21,1.36,0,5.88235,0,14.3647,4.205,-8.73345,1,7,0,0,0,0,0,0,2.816,0,195.8
72,2225.560,24.4932,14.4703,10.1195,255,0,3.90625,1096.25,0,9.5,95,5.21,1.36,0,5.4902,0,14.3647,4.35,-8.74886,1,7,0,0,0,0,0,0,2.816,0,195.8
73,2225.600,24.5783,14.4703,10.1195,255,0,3.90625,1073.75,0,9.5,95,5.27,1.36,0,5.4902,0,14.3647,4.35,-8.74886,1,7,0,0,0,0,0,0,2.816,0,195.8
74,2225.640,24.4932,14.3555,10.1093,255,0,3.90625,1071.25,0,9.5,95,5.26,1.36,0,5.4902,0,14.3647,4.35,-8.77194,1,7,0,0,0,0,0,0,2.816,0,195.8
75,2225.680,24.6634,14.3555,10.1093,255,0,3.90625,1050,0,9.5,95,5.15,1.34,0,5.4902,0,14.3647,4.35,-8.77194,1,7,0,0,0,0,0,0,2.816,0,195.8
76,2225.720,24.5783,14.3555,10.1059,255,0,3.90625,1033.75,0,9.5,95,5.09,1.36,0,5.4902,0,14.3647,4.35,-8.7917,1,7,0,0,0,0,0,0,2.816,0,195.8
77,2225.760,24.5783,14.3555,10.14,255,0,3.90625,1032.75,0,9.5,95,5.13,1.36,0,5.4902,0,14.3647,4.35,-8.80758,1,7,0,0,0,0,0,0,2.816,0,195.8
78,2225.800,24.6208,14.3555,10.14,255,0,3.90625,1018.75,0,9.5,95,5.09,1.34,0,5.4902,0,14.3647,4.35,-8.80758,1,7,0,0,0,0,0,0,2.816,0,195.8
79,2225.840,24.6634,14.3555,10.1366,255,0,3.90625,1008.5,0,9.5,95,5.09,1.36,0,5.4902,0,14.3647,4.35,-8.82044,1,7,0,0,0,0,0,0,2.816,0,195.8
80,2225.880,24.6634,14.3555,10.1297,255,0,3.90625,999.75,0,9.5,95,5.09,1.34,0,5.4902,0,14.3647,4.35,-8.83795,1,7,0,0,0,0,0,0,2.816,0,195.8
81,2225.920,24.6208,14.2406,10.1297,255,0,3.90625,968.5,0,9.5,95,5.09,1.34,0,5.4902,0,14.3647,4.495,-8.83795,1,7,0,0,0,0,0,0,2.816,0,195.8
82,2225.960,24.6208,14.2406,10.1571,255,0,3.90625,951.5,0,9.5,95,5.09,1.36,0,5.4902,0,14.3647,4.495,-8.86688,1,7,0,0,0,0,0,0,2.816,0,195.8
83,2226.000,24.5358,14.2406,10.1571,255,0,3.90625,945.5,0,9.5,95,5.09,1.36,0,5.4902,0,14.3647,4.495,-8.86688,1,7,0,0,0,0,0,0,2.816,0,195.8
84,2226.040,24.5358,14.2406,10.1468,255,0,3.90625,932,0,9.5,95,5.09,1.34,0,5.4902,0,14.3647,4.495,-8.88797,1,7,0,0,0,0,0,0,2.816,0,195.8
85,2226.080,24.4932,14.2406,10.14,255,0,3.90625,918.75,0,10,95,5.05,1.34,0,5.09804,0,14.3647,4.495,-8.90523,1,7,0,0,0,0,0,0,2.816,0,195.8
86,2226.120,24.6208,14.1258,10.14,255,0,3.90625,911,0,10,95,5.01,1.34,0,5.4902,0,14.3647,4.64,-8.90523,1,7,0,0,0,0,0,0,2.816,0,195.8
87,2226.160,24.5783,14.1258,10.1742,255,0,3.90625,888,0,10,95,5.01,1.36,0,5.09804,0,14.3647,4.64,-8.91991,1,7,0,0,0,0,0,0,2.816,0,195.8
88,2226.200,24.5783,14.1258,10.1639,255,0,3.90625,872,0,10.5,95,4.97,1.36,0,5.09804,0,14.3647,4.64,-8.95599,1,7,0,0,0,0,0,0,2.816,0,195.8
89,2226.240,24.4932,14.1258,10.1639,255,0,3.90625,861.25,0,10.5,95,5.01,1.34,0,5.09804,0,14.3647,4.64,-8.95599,1,7,0,0,0,0,0,0,3.072,0,195.8
90,2226.280,23.7351,14.1258,10.1674,255,0,3.90625,864,0,10.5,95,5.01,1.32,0,5.09804,0,14.3647,4.64,-8.96334,1,7,0,0,0,0,0,0,3.072,0,195.8
91,2226.320,23.8202,14.0109,10.1674,255,0,3.90625,840,0,11,95,4.93,1.32,0,5.09804,0,14.3647,4.785,-8.96334,1,7,0,0,0,0,0,0,3.072,0,195.8
92,2226.360,23.6945,14.0109,10.2018,255,0,3.90625,830.25,0,11,95,4.93,1.32,0,5.09804,0,14.3647,4.785,-8.9854,1,7,0,0,0,0,0,0,3.072,0,195.8
93,2226.400,23.8627,14.0109,10.2018,255,0,3.90625,826.5,0,11,95,4.89,1.34,0,5.09804,0,14.3647,4.785,-8.99808,1,7,0,0,0,0,0,0,3.072,0,195.8
94,2226.440,23.8202,14.0109,10.2018,255,0,3.90625,812,0,11.5,95,4.89,1.34,0,5.09804,0,14.3647,4.785,-8.99808,1,7,0,0,0,0,0,0,3.072,0,195.8
95,2226.480,23.8627,13.8961,10.2018,255,0,3.90625,810,0,11.5,95,4.85,1.34,0,5.09804,0,14.3647,4.93,-9.01148,1,7,0,0,0,0,0,0,3.072,0,195.8
96,2226.520,23.7351,13.8961,10.233,255,0,3.90625,802.75,0,11.5,95,4.85,1.34,0,5.09804,0,14.3647,4.93,-9.01999,1,7,0,0,0,0,0,0,3.072,0,195.8
97,2226.560,23.8202,13.8961,10.233,255,0,3.90625,792.75,0,16,95,4.81,1.34,0,5.09804,0,14.3647,4.93,-9.01999,1,7,0,0,0,0,0,0,3.072,0,195.8
98,2226.600,23.8627,13.7813,10.24,255,0,3.90625,774.25,0,16,95,4.81,1.34,0,5.09804,0,14.3647,4.93,-9.02269,1,7,0,0,0,0,0,0,3.072,0,195.8
99,2226.640,23.8627,13.7813,10.24,255,0,3.90625,776.75,0,16,95,4.85,1.34,0,5.09804,0,14.3647,5.075,-9.02269,1,7,0,0,0,0,0,0,3.072,0,195.8
100,2226.680,23.8627,13.7813,10.2435,255,0,3.90625,780.75,0,16,95,4.85,1.34,0,5.09804,0,14.3647,5.075,-9.0228,1,7,0,0,0,0,0,0,3.072,0,195.8
101,2226.720,23.9033,13.6664,10.247,255,0,3.90625,793.75,0,16,95,4.81,1.34,0,5.09804,0,14.3647,5.075,-9.0229,1,7,0,0,0,0,0,0,3.072,0,195.8
102,2226.760,23.8202,13.6664,10.247,255,0,3.90625,791.25,0,16,95,4.81,1.32,0,5.09804,0,14.3647,5.075,-9.0229,1,7,0,0,0,0,0,0,3.072,0,195.8
103,2226.800,23.8202,13.6664,10.2785,255,0,3.90625,782,0,16,95,4.77,1.32,0,5.09804,0,14.3647,5.075,-9.02301,1,7,0,0,0,0,0,0,3.072,0,195.8
104,2226.840,23.9033,13.5516,10.282,255,0,3.90625,773.25,0,16,95,4.77,1.32,0,5.09804,0,14.3647,5.22,-9.02311,1,7,0,0,0,0,0,0,3.328,0,195.8
105,2226.880,23.9033,13.5516,10.282,255,0,3.90625,768.75,0,16,95,4.73,1.32,0,5.09804,0,14.3647,5.22,-9.02311,1,7,0,0,0,0,0,0,3.328,0,195.8
106,2226.920,23.9033,13.5516,10.289,255,0,3.90625,760.75,0,16,95,4.73,1.3,0,5.09804,0,14.3647,5.22,-9.02322,1,7,0,0,0,0,0,0,3.328,0,195.8
107,2226.960,23.8627,13.4367,10.289,255,0,3.90625,741.75,0,16,95,4.6,1.32,0,5.09804,0,14.3647,5.22,-9.02322,1,7,0,0,0,0,0,0,3.328,0,195.8
108,2227.000,23.8202,13.4367,10.289,255,0,3.90625,736.5,0,16,95,4.56,1.32,0,5.09804,0,14.3647,5.22,-9.02332,1,7,0,0,0,0,0,0,3.328,0,195.8
109,2227.040,23.7351,13.3219,10.3172,255,0,3.90625,727.25,0,16,95,4.53,1.32,0,5.09804,0,14.3647,5.22,-9.02342,1,7,0,0,0,0,0,0,3.328,0,195.8
110,2227.080,23.7351,13.3219,10.3172,255,0,3.90625,717.5,0,16,95,4.53,1.32,0,5.09804,0,14.3647,5.22,-9.02342,1,7,0,0,0,0,0,0,3.328,0,195.8
111,2227.120,23.8202,13.207,10.3243,255,0,3.90625,737.5,0,16,95,4.53,1.32,0,5.09804,0,14.3647,5.365,-9.02352,1,7,0,0,0,0,0,0,3.328,0,195.8
112,2227.160,23.7776,13.207,10.3243,255,0,3.90625,746.25,0,16,95,4.6,1.32,0,5.09804,0,14.3647,5.365,-9.02362,1,7,0,0,0,0,0,0,3.328,0,195.8
113,2227.200,23.8202,13.207,10.3243,255,0,3.90625,758.75,0,16,95,4.56,1.32,0,5.09804,0,14.3647,5.365,-9.02362,1,7,0,0,0,0,0,0,3.328,0,195.8
114,2227.240,23.8202,13.0922,10.3491,255,0,3.90625,764.75,0,16,95,4.6,1.32,0,5.09804,0,14.3647,5.365,-9.02372,1,7,0,0,0,0,0,0,3.328,0,195.8
115,2227.280,23.8202,13.0922,10.3491,255,0,3.90625,781,0,16,95,4.6,1.32,0,5.09804,0,14.3647,5.365,-9.02372,1,7,0,0,0,0,0,0,3.328,0,195.8
116,2227.320,23.7351,12.9773,10.3491,255,0,3.90625,796,0,16,95,4.6,1.3,0,5.09804,0,14.3647,5.365,-9.02382,1,7,0,0,0,0,0,0,3.328,0,195.8
117,2227.360,23.8627,12.9773,10.3491,255,0,3.90625,824.25,0,16,95,4.69,1.3,0,5.09804,0,14.3647,5.365,-9.00964,1,7,0,0,0,0,0,0,3.328,0,195.8
118,2227.400,23.7351,12.8625,10.3491,255,0,3.90625,823.75,0,16,95,4.69,1.32,0,5.09804,0,14.3647,5.365,-9.00964,1,7,0,0,0,0,0,0,3.328,0,195.8
119,2227.440,23.8627,12.8625,10.3491,255,0,3.90625,827,0,16,95,4.69,1.32,0,5.09804,0,14.3647,5.365,-9.00224,1,7,0,0,0,0,0,0,3.072,0,195.8
120,2227.480,23.8202,12.7477,10.3741,255,0,3.90625,839.5,0,16,95,4.69,1.32,0,5.09804,0,14.3647,5.365,-8.98782,1,7,0,0,0,0,0,0,3.072,0,195.8
121,2227.520,23.8202,12.7477,10.3741,255,0,3.90625,836.25,0,16,95,4.69,1.34,0,5.09804,0,14.3647,5.365,-8.98782,1,7,0,0,0,0,0,0,3.072,0,195.8
122,2227.560,23.8202,12.6328,10.3777,255,0,3.90625,848,0,16,95,4.69,1.34,0,5.09804,0,14.3647,5.365,-8.98019,1,7,0,0,0,0,0,0,3.072,0,195.8
123,2227.600,23.8202,12.6328,10.3777,255,0,3.90625,857,0,16,95,4.69,1.32,0,5.09804,0,14.3647,5.365,-8.98019,1,7,0,0,0,0,0,0,3.072,0,195.8
124,2227.640,23.8202,12.518,10.3812,255,0,3.90625,865.25,0,15.5,95,4.64,1.3,0,5.09804,0,14.3647,5.365,-8.97203,1,7,0,0,0,0,0,0,3.072,0,195.8
125,2227.680,23.7351,12.518,10.3992,255,0,3.90625,870.5,0,15,95,4.56,1.3,0,4.70588,0,14.3647,5.365,-8.96816,1,7,0,0,0,0,0,0,3.072,0,195.8
126,2227.720,23.8627,12.4031,10.3992,255,0,3.90625,877,0,14.5,95,4.49,1.3,0,4.70588,0,14.3647,5.22,-8.96816,1,7,0,0,0,0,0,0,3.072,0,195.8
127,2227.760,23.8627,12.2883,10.4028,255,0,3.90625,887.5,0,13,95,4.45,1.32,0,4.70588,0,14.3647,5.22,-8.95379,1,7,0,0,0,0,0,0,3.072,0,195.8
128,2227.800,23.8627,12.2883,10.4028,255,0,3.90625,875.75,0,14.5,95,4.37,1.32,0,4.70588,0,14.3647,5.22,-8.95508,1,7,0,0,0,0,0,0,3.072,0,195.8
129,2227.840,23.8202,12.1734,10.4028,255,0,3.90625,873.5,0,14.5,95,4.29,1.3,0,4.70588,0,14.3647,5.22,-8.95508,1,7,0,0,0,0,0,0,3.072,0,195.8
130,2227.880,23.7776,12.0586,10.4172,255,0,3.90625,876,0,14,95,4.22,1.28,0,4.70588,0,14.3647,5.22,-8.95489,1,7,0,0,0,0,0,0,3.072,0,195.8
131,2227.920,23.6945,12.0586,10.4172,255,0,3.90625,866.5,0,15,95,4.16,1.28,0,4.70588,0,14.3647,5.22,-8.95489,1,7,0,0,0,0,0,0,2.816,0,195.8
132,2227.960,23.7776,11.9437,10.41,255,0,3.90625,870.75,0,14.5,95,4.16,1.28,0,4.70588,0,14.3647,5.075,-8.96368,1,7,0,0,0,0,0,0,2.816,0,195.8
133,2228.000,23.8202,11.9437,10.4172,255,0,3.90625,882.25,0,13,95,4.16,1.3,0,4.70588,0,14.3647,5.075,-8.94921,1,7,0,0,0,0,0,0,2.816,0,195.8
134,2228.040,23.8202,11.8289,10.4172,255,0,3.90625,893,0,12,95,4.16,1.3,0,4.70588,0,14.3647,5.075,-8.94921,1,7,0,0,0,0,0,0,2.816,0,195.8
135,2228.080,23.7776,11.7141,10.4316,255,0,3.90625,895.5,0,12,95,4.16,1.28,0,4.70588,0,14.3647,5.075,-8.93723,1,7,0,0,0,0,0,0,2.816,0,195.8
136,2228.120,23.7776,11.5992,10.4316,255,0,3.90625,891.25,0,12,95,4.16,1.28,0,4.70588,0,14.3647,5.075,-8.93853,1,7,0,0,0,0,0,0,2.816,0,195.8
137,2228.160,23.8202,11.5992,10.4316,255,0,3.90625,890.25,0,12.5,95,4.16,1.28,0,4.70588,0,14.3647,5.075,-8.93853,1,7,0,0,0,0,0,0,2.816,0,195.8
138,2228.200,23.8202,11.4844,10.428,255,0,3.90625,876.5,0,13.5,95,4.16,1.3,0,4.70588,0,14.3647,5.075,-8.94214,1,7,0,0,0,0,0,0,2.816,0,195.8
